,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50
Candela_Africa,3.276163,-5.026124,3.5091465,-3.2206848,-2.6151855,-5.7019386,14.0720215,-3.3632734,-4.424529,3.0011964,0.8079056,-0.9159785,-1.1916083,-0.2341564,-2.3196478,-0.26453194,1.7082226,0.6171087,-0.23624581,-0.1396407,5.0123653,1.3385416,2.2455761,1.1209135,5.2857413,0.49332026,-0.681858,0.61691386,0.7263361,1.2059073,-2.7963881,-5.091312,-2.0880468,-0.79546463,-3.6009398,-2.110365,0.06462225,-1.276876,0.86824965,0.1963983,2.7754014,4.011209,1.0528828,-4.4679127,1.4887784,3.8794773,2.8267093,0.7292342,-0.45317274,2.4480455
Candela_Africa,0.16373591,-5.222144,3.0978272,-2.6525354,-2.8043609,-5.2108397,10.077451,-3.4469695,-3.4491322,3.4687316,-1.61177,1.4773816,1.8515788,-0.7560637,0.84903103,1.2751195,1.3791518,1.9423147,3.087468,-2.6513858,0.88164985,1.8946539,0.6459846,-1.3692031,3.177732,0.46233556,1.5470008,-0.48199728,3.426268,-1.3724736,0.40729338,-3.1856775,-3.0314808,-2.9632885,-2.6251261,-0.94738305,-0.836023,-0.3098359,1.751552,-0.66316885,0.8169419,1.07307,3.442471,-2.9796464,1.8764864,1.3141211,0.019197399,-0.55315936,-3.851292,2.7942133
Candela_Africa,-2.580386,-5.8991385,0.9368515,-5.200581,-2.6246967,-3.7143238,5.977096,-4.4767375,-1.0305047,2.0613694,-0.39187357,-0.27580905,0.98255193,-0.4041087,0.056305047,-1.7572924,0.07439136,-0.1822856,0.078141555,-2.7925632,1.7499614,2.7248385,-2.2979364,1.1653597,0.52568656,0.15922166,-0.40158108,-3.200036,-0.028195333,1.8400993,0.530398,-0.4051339,0.08063571,-2.5355062,-1.7470531,0.5629591,-1.3020524,-0.7774263,1.0997177,0.55960023,5.553527,0.38945693,-0.17927673,-1.8175702,0.492348,1.0605483,0.4449152,-0.073367305,-2.2334838,0.9198854
Candela_Africa,-1.7757785,-4.605411,4.133999,-2.9417212,-0.44116905,-5.779086,11.016529,0.473752,-3.3747907,0.8936265,0.492207,-3.5410843,2.6521065,-3.8143218,-5.769639,-2.7697966,-1.5734499,1.9981481,0.06498831,3.1062868,0.58388793,3.4530947,1.3617287,0.53161144,2.5374784,-2.127801,-2.789402,4.843292,0.23780666,2.3620126,0.30227727,-4.004619,4.161957,-6.8849816,-1.348587,0.04164136,-0.924359,-0.7799305,0.09766268,-3.2657475,3.5429437,-1.2524148,0.02086987,-0.92482185,0.98420405,-1.8484286,-1.658664,1.2328284,1.0251077,-1.2771406
Candela_Africa,-5.6537924,-4.5009594,4.349613,5.0664196,-8.631653,-0.24554075,9.585045,1.0448121,-2.331026,4.7991266,-0.61502385,-4.15721,3.1626167,-2.4838464,1.807623,-3.331316,-1.1388569,4.428012,-1.3670912,-0.50070816,0.36489177,-1.3544699,-0.6663929,0.2979472,1.6872464,-0.6649345,-3.3606548,-2.7950501,3.318299,1.8929689,1.7323338,-3.0693786,-2.0879092,-0.45859447,-2.0870523,-0.22798653,0.24411312,-0.48821506,-1.6045051,0.51403683,-0.52176064,1.8457313,0.56215674,-1.5844609,3.109119,-0.14188787,1.5618727,-0.15739591,0.7961444,0.1599376
Candela_Africa,-4.682045,-4.8613133,1.2903879,-3.8419328,-5.243929,-1.6129599,6.6192193,-4.2982945,-2.7105312,3.3471248,-0.047587067,-1.200163,3.7352612,0.23882754,0.8713493,-1.8991933,-0.24591945,0.25635254,-1.3746969,-2.0261126,1.9084456,2.6901472,-0.754277,2.1777978,1.9961652,2.1359859,-0.82992685,-3.0485184,1.7405514,-0.6254325,0.20764619,-0.87870437,-0.32719222,0.60309845,-1.8848357,0.62948465,0.38051888,-0.68721133,-0.84462327,0.43397233,-1.5383285,0.8881005,-0.44253495,-1.5371082,0.46911514,-2.6048844,-0.34898195,-1.1763309,-0.33930266,0.9781624
Candela_Africa,0.9940684,-3.9731705,3.9572346,0.98662907,-0.95493346,-7.309062,13.378254,0.39121518,-3.5986528,-2.1517398,-2.6173315,4.767748,-2.6075242,3.3647757,-2.7707734,-3.719735,2.307079,2.8917758,-2.4559155,-0.15798256,3.1168334,1.8064797,-1.195589,1.023735,2.1916916,-1.2384385,1.1644267,3.0364811,0.84895205,-1.186619,-5.911265,-3.3455215,3.966695,-3.5490828,0.4885369,0.070419505,0.31239694,-1.1790442,-0.040910307,2.9624665,2.4529603,4.805536,-2.7867155,-5.8892617,1.7875832,-2.2365148,-0.13748188,-0.63953346,2.372596,-2.1818755
Candela_Africa,-3.7830756,-5.181546,1.580733,-2.434046,2.7783222,-5.062092,3.7667944,-3.7414508,-0.56078917,2.2543924,1.2308964,3.4495623,-3.0525289,-2.377961,0.88788825,-4.450779,1.2871016,0.41911942,-1.7892677,-0.4956391,2.9013479,4.91809,3.5597925,1.2003726,4.2275324,0.71623445,-2.6655455,-3.1787481,3.264088,-0.5385495,-4.415236,0.40441272,1.2108363,-1.5893434,-0.3980313,-0.33572224,0.8869308,2.3956864,1.1079724,-2.3102713,1.2251397,-0.2991094,-0.8321923,0.18473852,-1.730693,-1.7736329,1.9058107,-1.550935,-2.3074496,-0.88023
Candela_Africa,0.26667798,-2.2169626,-0.22013958,-4.178169,1.4843936,-0.10448259,5.865269,-7.8914866,-1.5895396,0.43142942,1.7582585,5.555865,0.35175398,2.1836517,1.9885715,-4.071968,0.75174534,-0.83980775,0.94182074,5.9479985,0.48525697,-2.7494485,-0.83349174,2.7762685,3.3623066,-0.6961323,-0.4220468,2.2558038,2.2804806,2.0985513,0.005567278,-1.5620968,-0.09105133,-2.5552733,-0.4922158,0.41052765,0.9900925,0.63084126,-2.0791795,-1.0660546,-0.030855479,-0.19165942,0.6097774,0.47548994,-0.24578547,-0.9598494,1.081422,-1.16818,2.6094003,-0.73618203
Candela_Africa,-0.55887645,-3.0051064,0.5184605,-3.3189223,1.2276214,0.0036176639,5.110997,-6.631197,-2.0495489,4.2743425,2.9778051,5.183757,1.030253,2.5700216,1.4654002,-3.2019057,3.1752572,-2.135371,0.21879397,1.3994594,1.13072,1.2395512,-0.94301975,0.090179235,2.3519669,1.0954393,-0.21973601,0.9759827,3.9733121,0.76036584,0.08492413,0.2268444,-0.8965214,-2.2225413,0.66808134,-0.7253083,0.10963078,3.9454722,0.27439773,-0.8676624,-1.4758835,-2.0101345,-2.242459,-1.0567608,-5.409976,-1.8215168,-3.189172,-1.0897783,-2.5695388,0.20074327
